Incubation Replicate,Site,Basin,Substrate,Rate,Unamended control rate,Adjusted Rate,Microarrary Replicate,Unique mcr genes,Quantity mcrgenes,Total Methane (microM),Unamended control total,Adjusted Total
O,13,Powder River Basin,Propionate,0.77,0.2099,0.5601,1,21,139690.8809,158.6353067,34.56045111,124.0748556
X,13,Powder River Basin,Propionate,1.0878,0.1791,0.9087,1,21,139690.8809,173.1411733,33.42927556,139.7118978
O,13,Powder River Basin,Butyrate,0.1525,0.2099,-0.0574,1,21,139690.8809,28.29515889,34.56045111,-6.265292222
X,13,Powder River Basin,Butyrate,0.0087,0.1791,-0.1704,1,21,139690.8809,4.47203,33.42927556,-28.95724556
O,13,Powder River Basin,Valerate,0.1755,0.2099,-0.0344,1,21,139690.8809,57.16066667,34.56045111,22.60021556
X,13,Powder River Basin,Valerate,0.3224,0.1791,0.1433,1,21,139690.8809,56.52991111,33.42927556,23.10063556
O,14,Powder River Basin,Formate,0.0205,0.1137,-0.0932,1,19,126165.8359,5.344615556,6.93006,-1.585444444
X,14,Powder River Basin,Formate,0.0227,0.0942,-0.0715,1,19,126165.8359,3.486668889,5.300514444,-1.813845556
O,14,Powder River Basin,Acetate,0.27,0.1137,0.1563,1,19,126165.8359,84.97310889,6.93006,78.04304889
X,14,Powder River Basin,Acetate,0.0048,0.0942,-0.0894,1,19,126165.8359,6.877556667,5.300514444,1.577042222
O,14,Powder River Basin,Propionate,0.0721,0.1137,-0.0416,1,19,126165.8359,16.52763556,6.93006,9.597575556
X,14,Powder River Basin,Propionate,0.1109,0.0942,0.0167,1,19,126165.8359,22.00383667,5.300514444,16.70332222
O,14,Powder River Basin,Butyrate,0.0018,0.1137,-0.1119,1,19,126165.8359,5.926226667,6.93006,-1.003833333
X,14,Powder River Basin,Butyrate,0.221,0.0942,0.1268,1,19,126165.8359,38.03962556,5.300514444,32.73911111
O,14,Powder River Basin,Valerate,0.0348,0.1137,-0.0789,1,19,126165.8359,5.529177778,6.93006,-1.400882222
X,14,Powder River Basin,Valerate,0.0464,0.0942,-0.0478,1,19,126165.8359,8.333622222,5.300514444,3.033107778
O,15,Powder River Basin,Formate,0.5206,0.2565,0.2641,1,11,8864.715,5.801291111,6.000812222,-0.199521111
X,15,Powder River Basin,Formate,0.7257,0.2103,0.5154,1,11,8864.715,8.457406667,4.22256,4.234846667
O,15,Powder River Basin,Acetate,0.3432,0.2565,0.0867,1,11,8864.715,4.925285556,6.000812222,-1.075526667
X,15,Powder River Basin,Acetate,0.2406,0.2103,0.0303,1,11,8864.715,5.17161,4.22256,0.94905
O,15,Powder River Basin,Propionate,0.1493,0.2565,-0.1072,1,11,8864.715,5.72014,6.000812222,-0.280672222
X,15,Powder River Basin,Propionate,0.1597,0.2103,-0.0506,1,11,8864.715,5.485088889,4.22256,1.262528889
O,15,Powder River Basin,Butyrate,0.0566,0.2565,-0.1999,1,11,8864.715,4.178838889,6.000812222,-1.821973333
X,15,Powder River Basin,Butyrate,0.1196,0.2103,-0.0907,1,11,8864.715,6.76495,4.22256,2.54239
O,15,Powder River Basin,Valerate,0.161,0.2565,-0.0955,1,11,8864.715,4.688288889,6.000812222,-1.312523333
X,15,Powder River Basin,Valerate,0.1083,0.2103,-0.102,1,11,8864.715,6.807555556,4.22256,2.584995556
O,16,Powder River Basin,Formate,0.0144,0.013,0.0014,1,,,19.00776889,11.22762778,7.780141111
X,16,Powder River Basin,Formate,0.0209,0.0104,0.0105,1,,,30.72198667,8.942518889,21.77946778
O,16,Powder River Basin,Acetate,0.0131,0.013,0.0001,1,,,7.544393333,11.22762778,-3.683234444
X,16,Powder River Basin,Acetate,0.0121,0.0104,0.0017,1,,,6.53999,8.942518889,-2.402528889
O,16,Powder River Basin,Propionate,0.0272,0.013,0.0142,1,,,11.11221333,11.22762778,-0.115414444
X,16,Powder River Basin,Propionate,0.0078,0.0104,-0.0026,1,,,7.084931111,8.942518889,-1.857587778
O,16,Powder River Basin,Butyrate,0.0104,0.013,-0.0026,1,,,1.883892222,11.22762778,-9.343735556
X,16,Powder River Basin,Butyrate,0.0173,0.0104,0.0069,1,,,7.341747778,8.942518889,-1.600771111
O,16,Powder River Basin,Valerate,0.0124,0.013,-0.0006,1,,,5.372222222,11.22762778,-5.855405556
X,16,Powder River Basin,Valerate,0.0191,0.0104,0.0087,1,,,8.562644444,8.942518889,-0.379874444
O,17,Powder River Basin,Formate,0.7542,0.1666,0.5876,1,,,27.79529,7.942147778,19.85314222
X,17,Powder River Basin,Formate,0.737,0.2043,0.5327,1,,,26.80805,8.791025556,18.01702444
O,17,Powder River Basin,Acetate,0.1272,0.1666,-0.0394,1,,,8.592412222,7.942147778,0.650264444
X,17,Powder River Basin,Acetate,0.1363,0.2043,-0.068,1,,,9.043176667,8.791025556,0.252151111
O,17,Powder River Basin,Propionate,0.1413,0.1666,-0.0253,1,,,9.815568889,7.942147778,1.873421111
X,17,Powder River Basin,Propionate,0.1416,0.2043,-0.0627,1,,,9.876896667,8.791025556,1.085871111
O,17,Powder River Basin,Butyrate,0.1323,0.1666,-0.0343,1,,,9.540132222,7.942147778,1.597984444
X,17,Powder River Basin,Butyrate,0.1468,0.2043,-0.0575,1,,,8.906207778,8.791025556,0.115182222
O,17,Powder River Basin,Valerate,0.1654,0.1666,-0.0012,1,,,9.440977778,7.942147778,1.49883
X,17,Powder River Basin,Valerate,0.1667,0.2043,-0.0376,1,,,9.202066667,8.791025556,0.411041111
