Incubation Replicate,Site,Basin,Substrate,Rate,Unamended control rate,Adjusted Rate,Microarrary Replicate,Unique mcr genes,Quantity mcrgenes,Total Methane (microM),Unamended control total,Adjusted Total
O,2,Illinois Basin,Butyrate,0.0067,0.0177,-0.011,3,32,181754.527,35.22057143,1.36496,33.85561143
X,2,Illinois Basin,Butyrate,0.242,0.0134,0.2286,3,32,181754.527,0.346967143,1.513865714,-1.166898571
O,2,Illinois Basin,Valerate,0.0108,0.0177,-0.0069,3,32,181754.527,1.852114286,1.36496,0.487154286
X,2,Illinois Basin,Valerate,0.0239,0.0134,0.0105,3,32,181754.527,1.502248571,1.513865714,-0.011617143
O,3,Illinois Basin,Formate,0.01,0.0011,0.0089,3,36,295653.7655,7.1155,0.939767143,6.175732857
X,3,Illinois Basin,Formate,0.0235,0.0006,0.0229,3,36,295653.7655,3.016657143,0.509851429,2.506805714
O,3,Illinois Basin,Acetate,0.0144,0.0011,0.0133,3,36,295653.7655,1.609598571,0.939767143,0.669831429
X,3,Illinois Basin,Acetate,0.0189,0.0006,0.0183,3,36,295653.7655,2.358334286,0.509851429,1.848482857
O,3,Illinois Basin,Propionate,0.0063,0.0011,0.0052,3,36,295653.7655,1.576484286,0.939767143,0.636717143
X,3,Illinois Basin,Propionate,0.0039,0.0006,0.0033,3,36,295653.7655,1.519674286,0.509851429,1.009822857
O,3,Illinois Basin,Butyrate,0.1775,0.0011,0.1764,3,36,295653.7655,33.03557143,0.939767143,32.09580429
X,3,Illinois Basin,Butyrate,0.005,0.0006,0.0044,3,36,295653.7655,2.43561,0.509851429,1.925758571
O,3,Illinois Basin,Valerate,0.00002,0.0011,-0.00108,3,36,295653.7655,0.288457143,0.939767143,-0.65131
X,3,Illinois Basin,Valerate,0.0046,0.0006,0.004,3,36,295653.7655,1.624257143,0.509851429,1.114405714
O,4,Illinois Basin,Formate,0.0138,0.0017,0.0121,3,12,113528.8425,2.594205714,0.982435714,1.61177
X,4,Illinois Basin,Formate,0.0099,0.00002,0.00988,3,12,113528.8425,4.478571429,0.295938571,4.182632857
O,4,Illinois Basin,Acetate,0.0047,0.0017,0.003,3,12,113528.8425,1.607508571,0.982435714,0.625072857
X,4,Illinois Basin,Acetate,0.0042,0.00002,0.00418,3,12,113528.8425,1.459335714,0.295938571,1.163397143
O,4,Illinois Basin,Propionate,0.0116,0.0017,0.0099,3,12,113528.8425,5.996942857,0.982435714,5.014507143
X,4,Illinois Basin,Propionate,0.0009,0.00002,0.00088,3,12,113528.8425,0.72352,0.295938571,0.427581429
O,4,Illinois Basin,Butyrate,0.007,0.0017,0.0053,3,12,113528.8425,1.698328571,0.982435714,0.715892857
X,4,Illinois Basin,Butyrate,0.0016,0.00002,0.00158,3,12,113528.8425,1.092798571,0.295938571,0.79686
O,4,Illinois Basin,Valerate,0.0019,0.0017,0.0002,3,12,113528.8425,1.091571429,0.982435714,0.109135714
X,4,Illinois Basin,Valerate,0.0016,0.00002,0.00158,3,12,113528.8425,0.877742857,0.295938571,0.581804286
O,5,Illinois Basin,Formate,0.0151,0.00003,0.01507,3,24,122603.1938,2.380781429,0.347184286,2.033597143
X,5,Illinois Basin,Formate,0.0225,0.0001,0.0224,3,24,122603.1938,3.759285714,0.364881429,3.394404286
O,5,Illinois Basin,Acetate,0.0001,0.00003,0.00007,3,24,122603.1938,0.355327143,0.347184286,0.008142857
X,5,Illinois Basin,Acetate,0.00003,0.0001,-0.00007,3,24,122603.1938,0.296182857,0.364881429,-0.068698571
O,5,Illinois Basin,Propionate,0.002,0.00003,0.00197,3,24,122603.1938,0.449051429,0.347184286,0.101867143
X,5,Illinois Basin,Propionate,0.0023,0.0001,0.0022,3,24,122603.1938,0.34124,0.364881429,-0.023641429
O,5,Illinois Basin,Butyrate,0.0001,0.00003,0.00007,3,24,122603.1938,1.281984286,0.347184286,0.9348
X,5,Illinois Basin,Butyrate,0.0001,0.0001,0,3,24,122603.1938,0.468132857,0.364881429,0.103251429
O,5,Illinois Basin,Valerate,0.0009,0.00003,0.00087,3,24,122603.1938,0.6782,0.347184286,0.331015714
X,5,Illinois Basin,Valerate,0.0001,0.0001,0,3,24,122603.1938,0.339942857,0.364881429,-0.024938571
O,6,Cook Inlet gas field,Formate,0.4816,0.2116,0.27,1,8,45848.6462,64.19557143,42.73371429,21.46185714
X,6,Cook Inlet gas field,Formate,0.6315,0.1704,0.4611,1,8,45848.6462,63.91328571,36.07828571,27.835
O,6,Cook Inlet gas field,Acetate,0.8019,0.2116,0.5903,1,8,45848.6462,112.6998571,42.73371429,69.96614286
X,6,Cook Inlet gas field,Acetate,0.9266,0.1704,0.7562,1,8,45848.6462,112.2411429,36.07828571,76.16285714
O,6,Cook Inlet gas field,Propionate,0.8114,0.2116,0.5998,1,8,45848.6462,157.8818571,42.73371429,115.1481429
X,6,Cook Inlet gas field,Propionate,0.7652,0.1704,0.5948,1,8,45848.6462,177.6038571,36.07828571,141.5255714
O,6,Cook Inlet gas field,Butyrate,1.0671,0.2116,0.8555,1,8,45848.6462,205.447,42.73371429,162.7132857
X,6,Cook Inlet gas field,Butyrate,0.8844,0.1704,0.714,1,8,45848.6462,180.3127143,36.07828571,144.2344286
O,6,Cook Inlet gas field,Valerate,1.1412,0.2116,0.9296,1,8,45848.6462,280.08,42.73371429,237.3462857
X,6,Cook Inlet gas field,Valerate,1.3782,0.1704,1.2078,1,8,45848.6462,340.5714286,36.07828571,304.4931429
O,7,Cook Inlet gas field,Formate,0.2015,0.0313,0.1702,1,,,51.566,8.667257143,42.89874286
X,7,Cook Inlet gas field,Formate,0.317,0.4221,-0.1051,1,,,70.38414286,34.93828571,35.44585714
O,7,Cook Inlet gas field,Acetate,0.5635,0.0313,0.5322,1,,,103.7291429,8.667257143,95.06188571
X,7,Cook Inlet gas field,Acetate,0.5779,0.4221,0.1558,1,,,105.1134286,34.93828571,70.17514286
O,7,Cook Inlet gas field,Propionate,0.4468,0.0313,0.4155,1,,,37.53042857,8.667257143,28.86317143
X,7,Cook Inlet gas field,Propionate,0.3263,0.4221,-0.0958,1,,,37.37571429,34.93828571,2.437428571
O,7,Cook Inlet gas field,Butyrate,0.7084,0.0313,0.6771,1,,,163.8342857,8.667257143,155.1670286
