"GeneCategory","Basin","Site","AbundanceMean","AbudanceRelativeToBasinMean","AbudanceRelativeToBasinSE","AbudanceRelativeToBasinList","AbudanceRelativeToBasinCount","SEHigh","SELow","RankWithinCategory","RankWithinSite"
"Antibiotic resistance","CookInlet",9,5163.75694604317,0.401734104046243,NA,"0.401734104046243",1,NA,NA,12,5
"Antibiotic resistance","CookInlet",10,10879.4781449541,0.315028901734104,NA,"0.315028901734104",1,NA,NA,4,5
"Antibiotic resistance","CookInlet",11,9289.86623960396,0.875722543352601,NA,"0.875722543352601",1,NA,NA,1,12
"Antibiotic resistance","Illinois",1,3017.81433637116,0.270097181315007,0.0646052235433121,"0.2-0.283040935672515-0.327250608272506",3,0.334702404858319,0.205491957771695,7,3
"Antibiotic resistance","Illinois",2,9012.76182607854,0.556981921270895,0.0500431309969313,"0.50828729281768-0.554385964912281-0.608272506082725",3,0.607025052267826,0.506938790273964,11,3
"Antibiotic resistance","Illinois",3,15336.6812909624,0.748994906869904,0.0155058768398361,"0.759116022099448-0.75672514619883-0.731143552311436",3,0.764500783709741,0.733489030030068,10,7
"Antibiotic resistance","Illinois",4,7570.03873144051,0.307833927278979,0.118131392156917,"0.177900552486188-0.336842105263158-0.408759124087591",3,0.425965319435896,0.189702535122062,5,7
"Antibiotic resistance","Illinois",5,10981.3240343075,0.580605683844828,0.0604136113129328,"0.612154696132597-0.618713450292398-0.510948905109489",3,0.641019295157761,0.520192072531895,3,2
"Antibiotic resistance","Powder",12,10183.370042963,0.512658227848101,NA,"0.512658227848101",1,NA,NA,9,7
"Antibiotic resistance","Powder",13,8715.73610944524,0.531645569620253,NA,"0.531645569620253",1,NA,NA,2,3
"Antibiotic resistance","Powder",14,8591.46399321357,0.634177215189873,NA,"0.634177215189873",1,NA,NA,8,3
"Antibiotic resistance","Powder",15,1281.6762396875,0.40506329113924,NA,"0.40506329113924",1,NA,NA,6,7
"Bacteria phage","Illinois",1,1955.00964142313,0.191290971751991,0.057572921457982,"0.126865671641791-0.209302325581395-0.237704918032787",3,0.248863893209973,0.133718050294009,9,2
"Bacteria phage","Illinois",2,7121.0105926578,0.556556080949933,0.0229570832187518,"0.537313432835821-0.550387596899225-0.581967213114754",3,0.579513164168685,0.533598997731181,1,2
"Bacteria phage","Illinois",3,11403.1390375418,0.721506838662198,0.0289553969686098,"0.753731343283582-0.697674418604651-0.713114754098361",3,0.750462235630808,0.692551441693588,4,2
"Bacteria phage","Illinois",4,5434.31260188596,0.239240637579671,0.0933520227921149,"0.141791044776119-0.248062015503876-0.327868852459016",3,0.332592660371785,0.145888614787556,8,3
